pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
CB3720,AVLP178,2,False,False,False,False,False,False
CB3720,AVLP178,3,True,True,False,False,False,False
CB3720,AVLP178,4,True,True,False,False,False,False
CB3720,AVLP178,5,True,True,False,False,False,False
CB3720,CB2309,2,False,False,False,False,False,False
CB3720,CB2309,3,True,False,False,False,False,False
CB3720,CB2309,4,True,True,False,False,False,False
CB3720,CB2309,5,True,True,False,False,False,False
CB3720,AVLP477,2,True,False,False,False,False,False
CB3720,AVLP477,3,True,True,False,False,False,False
CB3720,AVLP477,4,True,True,False,False,False,False
CB3720,AVLP477,5,True,True,False,False,False,False
CB3720,CB2200,2,False,False,False,False,False,False
CB3720,CB2200,3,True,False,False,False,False,False
CB3720,CB2200,4,True,True,False,False,False,False
CB3720,CB2200,5,True,True,False,False,False,False
CB3720,CB0198,2,False,False,False,False,False,False
CB3720,CB0198,3,True,True,False,False,False,False
CB3720,CB0198,4,True,True,False,False,False,False
CB3720,CB0198,5,True,True,False,False,False,False
CB3720,cLLP02,2,True,False,False,False,False,False
CB3720,cLLP02,3,True,False,False,False,False,False
CB3720,cLLP02,4,True,True,False,False,False,False
CB3720,cLLP02,5,True,True,False,False,False,False
CB3720,CB1368,2,False,False,False,False,False,False
CB3720,CB1368,3,True,True,False,False,False,False
CB3720,CB1368,4,True,True,False,False,False,False
CB3720,CB1368,5,True,True,False,False,False,False
CB3720,LAL143,2,False,False,False,False,False,False
CB3720,LAL143,3,True,False,False,False,False,False
CB3720,LAL143,4,True,True,False,False,False,False
CB3720,LAL143,5,True,True,False,False,False,False
CB3720,CB2021,2,True,False,False,False,False,False
CB3720,CB2021,3,True,True,False,False,False,False
CB3720,CB2021,4,True,True,False,False,False,False
CB3720,CB2021,5,True,True,True,False,False,False
CB3720,CB2638,2,False,False,False,False,False,False
CB3720,CB2638,3,True,True,False,False,False,False
CB3720,CB2638,4,True,True,False,False,False,False
CB3720,CB2638,5,True,True,True,False,False,False
CB3720,"SMP213,SMP214",2,False,False,False,False,False,False
CB3720,"SMP213,SMP214",3,True,True,False,False,False,False
CB3720,"SMP213,SMP214",4,True,True,False,False,False,False
CB3720,"SMP213,SMP214",5,True,True,False,False,False,False
CB3720,M_VPNml66,2,False,False,False,False,False,False
CB3720,M_VPNml66,3,True,False,False,False,False,False
CB3720,M_VPNml66,4,True,True,False,False,False,False
CB3720,M_VPNml66,5,True,True,False,False,False,False
CB3720,CB0959,2,True,True,False,False,False,False
CB3720,CB0959,3,True,True,False,False,False,False
CB3720,CB0959,4,True,True,True,False,False,False
CB3720,CB0959,5,True,True,True,False,False,False
CB3720,aSP-g3A,2,False,False,False,False,False,False
CB3720,aSP-g3A,3,True,True,False,False,False,False
CB3720,aSP-g3A,4,True,True,False,False,False,False
CB3720,aSP-g3A,5,True,True,True,False,False,False
CB3720,LPi02,2,False,False,False,False,False,False
CB3720,LPi02,3,True,False,False,False,False,False
CB3720,LPi02,4,True,True,False,False,False,False
CB3720,LPi02,5,True,True,False,False,False,False
CB3720,LT84,2,False,False,False,False,False,False
CB3720,LT84,3,True,False,False,False,False,False
CB3720,LT84,4,True,False,False,False,False,False
CB3720,LT84,5,True,True,False,False,False,False
CB3720,CB2183,2,False,False,False,False,False,False
CB3720,CB2183,3,True,False,False,False,False,False
CB3720,CB2183,4,True,True,False,False,False,False
CB3720,CB2183,5,True,True,False,False,False,False
CB3720,LTe20,2,True,False,False,False,False,False
CB3720,LTe20,3,True,True,False,False,False,False
CB3720,LTe20,4,True,True,False,False,False,False
CB3720,LTe20,5,True,True,False,False,False,False
CB3720,CB0284,2,False,False,False,False,False,False
CB3720,CB0284,3,True,False,False,False,False,False
CB3720,CB0284,4,True,True,False,False,False,False
CB3720,CB0284,5,True,True,False,False,False,False
CB3720,CB1130,2,False,False,False,False,False,False
CB3720,CB1130,3,True,False,False,False,False,False
CB3720,CB1130,4,True,True,False,False,False,False
CB3720,CB1130,5,True,True,False,False,False,False
CB3720,CB3610,2,False,False,False,False,False,False
CB3720,CB3610,3,True,True,False,False,False,False
CB3720,CB3610,4,True,True,False,False,False,False
CB3720,CB3610,5,True,True,False,False,False,False
CB3720,CB2687,2,True,True,False,False,False,False
CB3720,CB2687,3,True,True,False,False,False,False
CB3720,CB2687,4,True,True,True,False,False,False
CB3720,CB2687,5,True,True,True,False,False,False
CB3720,LHPV4a7a,2,False,False,False,False,False,False
CB3720,LHPV4a7a,3,True,False,False,False,False,False
CB3720,LHPV4a7a,4,True,True,False,False,False,False
CB3720,LHPV4a7a,5,True,True,False,False,False,False
CB3720,CB2403,2,True,True,True,False,False,False
CB3720,CB2403,3,True,True,True,False,False,False
CB3720,CB2403,4,True,True,True,False,False,False
CB3720,CB2403,5,True,True,True,False,False,False
CB3720,SA_DMT_ADMN_9,2,False,False,False,False,False,False
CB3720,SA_DMT_ADMN_9,3,False,False,False,False,False,False
CB3720,SA_DMT_ADMN_9,4,True,True,False,False,False,False
CB3720,SA_DMT_ADMN_9,5,True,True,False,False,False,False
CB3720,CB0324,2,False,False,False,False,False,False
CB3720,CB0324,3,True,False,False,False,False,False
CB3720,CB0324,4,True,True,False,False,False,False
CB3720,CB0324,5,True,True,False,False,False,False
CB3720,CL273,2,False,False,False,False,False,False
CB3720,CL273,3,True,False,False,False,False,False
CB3720,CL273,4,True,True,False,False,False,False
CB3720,CL273,5,True,True,False,False,False,False
CB3720,CB3564,2,False,False,False,False,False,False
CB3720,CB3564,3,True,True,False,False,False,False
CB3720,CB3564,4,True,True,False,False,False,False
CB3720,CB3564,5,True,True,False,False,False,False
CB3720,PS242,2,True,False,False,False,False,False
CB3720,PS242,3,True,False,False,False,False,False
CB3720,PS242,4,True,True,False,False,False,False
CB3720,PS242,5,True,True,False,False,False,False
CB3720,CB0391,2,False,False,False,False,False,False
CB3720,CB0391,3,True,False,False,False,False,False
CB3720,CB0391,4,True,True,False,False,False,False
CB3720,CB0391,5,True,True,False,False,False,False
CB3720,Pm07,2,False,False,False,False,False,False
CB3720,Pm07,3,True,False,False,False,False,False
CB3720,Pm07,4,True,False,False,False,False,False
CB3720,Pm07,5,True,True,False,False,False,False
CB3720,VP1d+VP4_l2PN1,2,False,False,False,False,False,False
CB3720,VP1d+VP4_l2PN1,3,True,False,False,False,False,False
CB3720,VP1d+VP4_l2PN1,4,True,True,False,False,False,False
CB3720,VP1d+VP4_l2PN1,5,True,True,False,False,False,False
CB3720,DNg12_e,2,True,False,False,False,False,False
CB3720,DNg12_e,3,True,True,False,False,False,False
CB3720,DNg12_e,4,True,True,False,False,False,False
CB3720,DNg12_e,5,True,True,False,False,False,False
CB3720,AVLP210,2,False,False,False,False,False,False
CB3720,AVLP210,3,True,True,False,False,False,False
CB3720,AVLP210,4,True,True,False,False,False,False
CB3720,AVLP210,5,True,True,True,False,False,False
CB3720,CB2416,2,False,False,False,False,False,False
CB3720,CB2416,3,True,True,False,False,False,False
CB3720,CB2416,4,True,True,False,False,False,False
CB3720,CB2416,5,True,True,True,False,False,False
CB3720,CB2013,2,False,False,False,False,False,False
CB3720,CB2013,3,True,True,False,False,False,False
CB3720,CB2013,4,True,True,False,False,False,False
CB3720,CB2013,5,True,True,True,False,False,False
CB3720,CB0196,2,True,False,False,False,False,False
CB3720,CB0196,3,True,True,False,False,False,False
CB3720,CB0196,4,True,True,False,False,False,False
CB3720,CB0196,5,True,True,False,False,False,False
CB3720,AVLP288,2,False,False,False,False,False,False
CB3720,AVLP288,3,True,True,False,False,False,False
CB3720,AVLP288,4,True,True,False,False,False,False
CB3720,AVLP288,5,True,True,True,False,False,False
CB3720,DNge010,2,True,False,False,False,False,False
CB3720,DNge010,3,True,True,False,False,False,False
CB3720,DNge010,4,True,True,False,False,False,False
CB3720,DNge010,5,True,True,False,False,False,False
CB3720,CB2320,2,False,False,False,False,False,False
CB3720,CB2320,3,True,False,False,False,False,False
CB3720,CB2320,4,True,True,False,False,False,False
CB3720,CB2320,5,True,True,False,False,False,False
CB3720,AN_multi_50,2,False,False,False,False,False,False
CB3720,AN_multi_50,3,True,False,False,False,False,False
CB3720,AN_multi_50,4,True,True,False,False,False,False
CB3720,AN_multi_50,5,True,True,False,False,False,False
CB3720,SMP262,2,True,True,False,False,False,False
CB3720,SMP262,3,True,True,False,False,False,False
CB3720,SMP262,4,True,True,True,False,False,False
CB3720,SMP262,5,True,True,True,False,False,False
CB3720,FB4D,2,False,False,False,False,False,False
CB3720,FB4D,3,True,False,False,False,False,False
CB3720,FB4D,4,True,True,False,False,False,False
CB3720,FB4D,5,True,True,False,False,False,False
CB3720,"SLP109,SLP143",2,False,False,False,False,False,False
CB3720,"SLP109,SLP143",3,True,True,False,False,False,False
CB3720,"SLP109,SLP143",4,True,True,False,False,False,False
CB3720,"SLP109,SLP143",5,True,True,False,False,False,False
CB3720,CB1089,2,False,False,False,False,False,False
CB3720,CB1089,3,True,True,False,False,False,False
CB3720,CB1089,4,True,True,False,False,False,False
CB3720,CB1089,5,True,True,True,False,False,False
CB3720,CB1880,2,False,False,False,False,False,False
CB3720,CB1880,3,True,False,False,False,False,False
CB3720,CB1880,4,True,True,False,False,False,False
CB3720,CB1880,5,True,True,False,False,False,False
CB3720,DNpe008,2,False,False,False,False,False,False
CB3720,DNpe008,3,True,False,False,False,False,False
CB3720,DNpe008,4,True,True,False,False,False,False
CB3720,DNpe008,5,True,True,False,False,False,False
CB3720,R1-6,2,False,False,False,False,False,False
CB3720,R1-6,3,False,False,False,False,False,False
CB3720,R1-6,4,True,False,False,False,False,False
CB3720,R1-6,5,True,False,False,False,False,False
CB3720,CB0779,2,True,True,False,False,False,False
CB3720,CB0779,3,True,True,False,False,False,False
CB3720,CB0779,4,True,True,False,False,False,False
CB3720,CB0779,5,True,True,True,False,False,False
CB3720,FB8C,2,True,False,False,False,False,False
CB3720,FB8C,3,True,True,False,False,False,False
CB3720,FB8C,4,True,True,False,False,False,False
CB3720,FB8C,5,True,True,False,False,False,False
CB3720,AN_GNG_60,2,False,False,False,False,False,False
CB3720,AN_GNG_60,3,True,True,False,False,False,False
CB3720,AN_GNG_60,4,True,True,False,False,False,False
CB3720,AN_GNG_60,5,True,True,True,False,False,False
CB3720,CB0809,2,True,True,True,False,False,False
CB3720,CB0809,3,True,True,True,False,False,False
CB3720,CB0809,4,True,True,True,False,False,False
CB3720,CB0809,5,True,True,True,False,False,False
CB3720,LHAV3c1,2,False,False,False,False,False,False
CB3720,LHAV3c1,3,True,True,False,False,False,False
CB3720,LHAV3c1,4,True,True,False,False,False,False
CB3720,LHAV3c1,5,True,True,False,False,False,False
CB3720,Sm33,2,False,False,False,False,False,False
CB3720,Sm33,3,False,False,False,False,False,False
CB3720,Sm33,4,True,False,False,False,False,False
CB3720,Sm33,5,True,True,False,False,False,False
CB3720,AVLP443,2,False,False,False,False,False,False
CB3720,AVLP443,3,True,True,False,False,False,False
CB3720,AVLP443,4,True,True,False,False,False,False
CB3720,AVLP443,5,True,True,True,False,False,False
CB3720,CB3577,2,False,False,False,False,False,False
CB3720,CB3577,3,True,True,False,False,False,False
CB3720,CB3577,4,True,True,False,False,False,False
CB3720,CB3577,5,True,True,False,False,False,False
CB3720,CB1737,2,False,False,False,False,False,False
CB3720,CB1737,3,True,True,False,False,False,False
CB3720,CB1737,4,True,True,False,False,False,False
CB3720,CB1737,5,True,True,False,False,False,False
CB3720,LT1b,2,False,False,False,False,False,False
CB3720,LT1b,3,True,False,False,False,False,False
CB3720,LT1b,4,True,False,False,False,False,False
CB3720,LT1b,5,True,True,False,False,False,False
CB3720,CB1922,2,False,False,False,False,False,False
CB3720,CB1922,3,True,False,False,False,False,False
CB3720,CB1922,4,True,True,False,False,False,False
CB3720,CB1922,5,True,True,False,False,False,False
CB3720,LTe42b,2,False,False,False,False,False,False
CB3720,LTe42b,3,True,False,False,False,False,False
CB3720,LTe42b,4,True,True,False,False,False,False
CB3720,LTe42b,5,True,True,False,False,False,False
CB3720,DNg02_f,2,True,False,False,False,False,False
CB3720,DNg02_f,3,True,True,False,False,False,False
CB3720,DNg02_f,4,True,True,False,False,False,False
CB3720,DNg02_f,5,True,True,False,False,False,False
CB3720,LAL002,2,True,False,False,False,False,False
CB3720,LAL002,3,True,False,False,False,False,False
CB3720,LAL002,4,True,True,False,False,False,False
CB3720,LAL002,5,True,True,False,False,False,False
CB3720,CB2721,2,False,False,False,False,False,False
CB3720,CB2721,3,True,False,False,False,False,False
CB3720,CB2721,4,True,True,False,False,False,False
CB3720,CB2721,5,True,True,False,False,False,False
CB3720,CREa1A_T01,2,True,False,False,False,False,False
CB3720,CREa1A_T01,3,True,False,False,False,False,False
CB3720,CREa1A_T01,4,True,True,False,False,False,False
CB3720,CREa1A_T01,5,True,True,False,False,False,False
CB3720,"LAL176,LAL177",2,True,False,False,False,False,False
CB3720,"LAL176,LAL177",3,True,False,False,False,False,False
CB3720,"LAL176,LAL177",4,True,True,False,False,False,False
CB3720,"LAL176,LAL177",5,True,True,False,False,False,False
CB3720,PhG16,2,True,True,True,False,False,False
CB3720,PhG16,3,True,True,False,False,False,False
CB3720,PhG16,4,True,True,True,False,False,False
CB3720,PhG16,5,True,True,True,False,False,False
CB3720,CB3441,2,False,False,False,False,False,False
CB3720,CB3441,3,True,True,False,False,False,False
CB3720,CB3441,4,True,True,False,False,False,False
CB3720,CB3441,5,True,True,False,False,False,False
CB3720,CB3317,2,False,False,False,False,False,False
CB3720,CB3317,3,True,False,False,False,False,False
CB3720,CB3317,4,True,True,False,False,False,False
CB3720,CB3317,5,True,True,False,False,False,False
CB3720,LHAV2d1,2,False,False,False,False,False,False
CB3720,LHAV2d1,3,True,True,False,False,False,False
CB3720,LHAV2d1,4,True,True,False,False,False,False
CB3720,LHAV2d1,5,True,True,False,False,False,False
CB3720,DNg02_e,2,True,False,False,False,False,False
CB3720,DNg02_e,3,True,False,False,False,False,False
CB3720,DNg02_e,4,True,True,False,False,False,False
CB3720,DNg02_e,5,True,True,False,False,False,False
CB3720,mNSC_unknown,2,True,True,False,False,False,False
CB3720,mNSC_unknown,3,True,True,False,False,False,False
CB3720,mNSC_unknown,4,True,True,True,False,False,False
CB3720,mNSC_unknown,5,True,True,True,False,False,False
CB3720,CB1194,2,False,False,False,False,False,False
CB3720,CB1194,3,True,False,False,False,False,False
CB3720,CB1194,4,True,True,False,False,False,False
CB3720,CB1194,5,True,True,False,False,False,False
CB3720,CB2776,2,False,False,False,False,False,False
CB3720,CB2776,3,True,False,False,False,False,False
CB3720,CB2776,4,True,True,False,False,False,False
CB3720,CB2776,5,True,True,False,False,False,False
CB3720,DNg38,2,True,True,False,False,False,False
CB3720,DNg38,3,True,True,False,False,False,False
CB3720,DNg38,4,True,True,False,False,False,False
CB3720,DNg38,5,True,True,True,False,False,False
CB3720,CB0549,2,True,False,False,False,False,False
CB3720,CB0549,3,True,True,False,False,False,False
CB3720,CB0549,4,True,True,False,False,False,False
CB3720,CB0549,5,True,True,True,False,False,False
CB3720,AN_GNG_197,2,False,False,False,False,False,False
CB3720,AN_GNG_197,3,True,True,False,False,False,False
CB3720,AN_GNG_197,4,True,True,False,False,False,False
CB3720,AN_GNG_197,5,True,True,False,False,False,False
CB3720,mAL5A,2,True,True,False,False,False,False
CB3720,mAL5A,3,True,True,False,False,False,False
CB3720,mAL5A,4,True,True,True,False,False,False
CB3720,mAL5A,5,True,True,True,False,False,False
CB3720,CB0543,2,True,False,False,False,False,False
CB3720,CB0543,3,True,False,False,False,False,False
CB3720,CB0543,4,True,True,False,False,False,False
CB3720,CB0543,5,True,True,True,False,False,False
CB3720,CB0336,2,False,False,False,False,False,False
CB3720,CB0336,3,True,False,False,False,False,False
CB3720,CB0336,4,True,True,False,False,False,False
CB3720,CB0336,5,True,True,False,False,False,False
CB3720,SMP033,2,False,False,False,False,False,False
CB3720,SMP033,3,True,True,False,False,False,False
CB3720,SMP033,4,True,True,False,False,False,False
CB3720,SMP033,5,True,True,False,False,False,False
CB3720,SMP040,2,False,False,False,False,False,False
CB3720,SMP040,3,True,True,False,False,False,False
CB3720,SMP040,4,True,True,False,False,False,False
CB3720,SMP040,5,True,True,False,False,False,False
CB3720,CL157,2,False,False,False,False,False,False
CB3720,CL157,3,True,True,False,False,False,False
CB3720,CL157,4,True,True,False,False,False,False
CB3720,CL157,5,True,True,False,False,False,False
CB3720,PVLP025,2,False,False,False,False,False,False
CB3720,PVLP025,3,True,False,False,False,False,False
CB3720,PVLP025,4,True,False,False,False,False,False
CB3720,PVLP025,5,True,True,False,False,False,False
CB3720,DNge072,2,False,False,False,False,False,False
CB3720,DNge072,3,True,False,False,False,False,False
CB3720,DNge072,4,True,True,False,False,False,False
CB3720,DNge072,5,True,True,False,False,False,False
CB3720,FR1,2,False,False,False,False,False,False
CB3720,FR1,3,True,False,False,False,False,False
CB3720,FR1,4,True,True,False,False,False,False
CB3720,FR1,5,True,True,False,False,False,False
CB3720,CB2720,2,False,False,False,False,False,False
CB3720,CB2720,3,True,True,False,False,False,False
CB3720,CB2720,4,True,True,False,False,False,False
CB3720,CB2720,5,True,True,False,False,False,False
CB3720,CB0924,2,False,False,False,False,False,False
CB3720,CB0924,3,True,False,False,False,False,False
CB3720,CB0924,4,True,True,False,False,False,False
CB3720,CB0924,5,True,True,False,False,False,False
CB3720,CB4130,2,False,False,False,False,False,False
CB3720,CB4130,3,True,False,False,False,False,False
CB3720,CB4130,4,True,True,False,False,False,False
CB3720,CB4130,5,True,True,False,False,False,False
CB3720,CL097,2,False,False,False,False,False,False
CB3720,CL097,3,True,True,False,False,False,False
CB3720,CL097,4,True,True,False,False,False,False
CB3720,CL097,5,True,True,False,False,False,False
CB3720,CB0426,2,True,True,True,False,False,False
CB3720,CB0426,3,True,True,True,False,False,False
CB3720,CB0426,4,True,True,True,False,False,False
CB3720,CB0426,5,True,True,True,False,False,False
CB3720,Sm01,2,False,False,False,False,False,False
CB3720,Sm01,3,True,False,False,False,False,False
CB3720,Sm01,4,True,False,False,False,False,False
CB3720,Sm01,5,True,True,False,False,False,False
CB3720,CB1942,2,False,False,False,False,False,False
CB3720,CB1942,3,True,False,False,False,False,False
CB3720,CB1942,4,True,True,False,False,False,False
CB3720,CB1942,5,True,True,False,False,False,False
CB3720,MTe08,2,False,False,False,False,False,False
CB3720,MTe08,3,True,False,False,False,False,False
CB3720,MTe08,4,True,False,False,False,False,False
CB3720,MTe08,5,True,True,False,False,False,False
CB3720,CB0521,2,True,True,False,False,False,False
CB3720,CB0521,3,True,True,True,False,False,False
CB3720,CB0521,4,True,True,True,False,False,False
CB3720,CB0521,5,True,True,True,False,False,False
CB3720,SLP286,2,True,False,False,False,False,False
CB3720,SLP286,3,True,True,False,False,False,False
CB3720,SLP286,4,True,True,False,False,False,False
CB3720,SLP286,5,True,True,True,False,False,False
CB3720,LPi08,2,False,False,False,False,False,False
CB3720,LPi08,3,True,False,False,False,False,False
CB3720,LPi08,4,True,True,False,False,False,False
CB3720,LPi08,5,True,True,False,False,False,False
CB3720,Sm03,2,False,False,False,False,False,False
CB3720,Sm03,3,True,False,False,False,False,False
CB3720,Sm03,4,True,False,False,False,False,False
CB3720,Sm03,5,True,True,False,False,False,False
CB3720,CB0166,2,True,True,False,False,False,False
CB3720,CB0166,3,True,True,False,False,False,False
CB3720,CB0166,4,True,True,False,False,False,False
CB3720,CB0166,5,True,True,True,False,False,False
CB3720,AVLP339,2,False,False,False,False,False,False
CB3720,AVLP339,3,True,False,False,False,False,False
CB3720,AVLP339,4,True,True,False,False,False,False
CB3720,AVLP339,5,True,True,False,False,False,False
CB3720,CB2694,2,False,False,False,False,False,False
CB3720,CB2694,3,True,False,False,False,False,False
CB3720,CB2694,4,True,True,False,False,False,False
CB3720,CB2694,5,True,True,False,False,False,False
SMP494,AVLP178,2,True,False,False,False,False,False
SMP494,AVLP178,3,True,True,False,False,False,False
SMP494,AVLP178,4,True,True,False,False,False,False
SMP494,AVLP178,5,True,True,False,False,False,False
SMP494,CB2309,2,False,False,False,False,False,False
SMP494,CB2309,3,True,False,False,False,False,False
SMP494,CB2309,4,True,True,False,False,False,False
SMP494,CB2309,5,True,True,False,False,False,False
SMP494,AVLP477,2,True,False,False,False,False,False
SMP494,AVLP477,3,True,True,False,False,False,False
SMP494,AVLP477,4,True,True,False,False,False,False
SMP494,AVLP477,5,True,True,False,False,False,False
SMP494,CB2200,2,True,True,False,False,False,False
SMP494,CB2200,3,True,True,False,False,False,False
SMP494,CB2200,4,True,True,False,False,False,False
SMP494,CB2200,5,True,True,False,False,False,False
SMP494,CB0198,2,False,False,False,False,False,False
SMP494,CB0198,3,True,False,False,False,False,False
SMP494,CB0198,4,True,True,False,False,False,False
SMP494,CB0198,5,True,True,False,False,False,False
SMP494,cLLP02,2,True,False,False,False,False,False
SMP494,cLLP02,3,True,True,False,False,False,False
SMP494,cLLP02,4,True,True,False,False,False,False
SMP494,cLLP02,5,True,True,False,False,False,False
SMP494,CB1368,2,True,False,False,False,False,False
SMP494,CB1368,3,True,True,False,False,False,False
SMP494,CB1368,4,True,True,False,False,False,False
SMP494,CB1368,5,True,True,False,False,False,False
SMP494,LAL143,2,False,False,False,False,False,False
SMP494,LAL143,3,True,True,False,False,False,False
SMP494,LAL143,4,True,True,False,False,False,False
SMP494,LAL143,5,True,True,False,False,False,False
SMP494,CB2021,2,True,False,False,False,False,False
SMP494,CB2021,3,True,True,False,False,False,False
SMP494,CB2021,4,True,True,False,False,False,False
SMP494,CB2021,5,True,True,False,False,False,False
SMP494,CB2638,2,True,False,False,False,False,False
SMP494,CB2638,3,True,True,False,False,False,False
SMP494,CB2638,4,True,True,False,False,False,False
SMP494,CB2638,5,True,True,False,False,False,False
SMP494,"SMP213,SMP214",2,True,True,False,False,False,False
SMP494,"SMP213,SMP214",3,True,True,False,False,False,False
SMP494,"SMP213,SMP214",4,True,True,False,False,False,False
SMP494,"SMP213,SMP214",5,True,True,False,False,False,False
SMP494,M_VPNml66,2,True,False,False,False,False,False
SMP494,M_VPNml66,3,True,True,False,False,False,False
SMP494,M_VPNml66,4,True,True,False,False,False,False
SMP494,M_VPNml66,5,True,True,False,False,False,False
SMP494,CB0959,2,True,True,False,False,False,False
SMP494,CB0959,3,True,True,False,False,False,False
SMP494,CB0959,4,True,True,False,False,False,False
SMP494,CB0959,5,True,True,True,False,False,False
SMP494,aSP-g3A,2,True,False,False,False,False,False
SMP494,aSP-g3A,3,True,True,False,False,False,False
SMP494,aSP-g3A,4,True,True,False,False,False,False
SMP494,aSP-g3A,5,True,True,False,False,False,False
SMP494,LPi02,2,False,False,False,False,False,False
SMP494,LPi02,3,True,False,False,False,False,False
SMP494,LPi02,4,True,True,False,False,False,False
SMP494,LPi02,5,True,True,False,False,False,False
SMP494,LT84,2,True,False,False,False,False,False
SMP494,LT84,3,True,False,False,False,False,False
SMP494,LT84,4,True,True,False,False,False,False
SMP494,LT84,5,True,True,False,False,False,False
SMP494,CB2183,2,True,False,False,False,False,False
SMP494,CB2183,3,True,False,False,False,False,False
SMP494,CB2183,4,True,True,False,False,False,False
SMP494,CB2183,5,True,True,False,False,False,False
SMP494,LTe20,2,True,False,False,False,False,False
SMP494,LTe20,3,True,False,False,False,False,False
SMP494,LTe20,4,True,True,False,False,False,False
SMP494,LTe20,5,True,True,False,False,False,False
SMP494,CB0284,2,False,False,False,False,False,False
SMP494,CB0284,3,True,False,False,False,False,False
SMP494,CB0284,4,True,True,False,False,False,False
SMP494,CB0284,5,True,True,False,False,False,False
SMP494,CB1130,2,True,False,False,False,False,False
SMP494,CB1130,3,True,True,False,False,False,False
SMP494,CB1130,4,True,True,False,False,False,False
SMP494,CB1130,5,True,True,False,False,False,False
SMP494,CB3610,2,True,True,False,False,False,False
SMP494,CB3610,3,True,True,False,False,False,False
SMP494,CB3610,4,True,True,False,False,False,False
SMP494,CB3610,5,True,True,False,False,False,False
SMP494,CB2687,2,True,False,False,False,False,False
SMP494,CB2687,3,True,True,False,False,False,False
SMP494,CB2687,4,True,True,False,False,False,False
SMP494,CB2687,5,True,True,False,False,False,False
SMP494,LHPV4a7a,2,False,False,False,False,False,False
SMP494,LHPV4a7a,3,True,True,False,False,False,False
SMP494,LHPV4a7a,4,True,True,False,False,False,False
SMP494,LHPV4a7a,5,True,True,False,False,False,False
SMP494,CB2403,2,False,False,False,False,False,False
SMP494,CB2403,3,True,False,False,False,False,False
SMP494,CB2403,4,True,True,False,False,False,False
SMP494,CB2403,5,True,True,False,False,False,False
SMP494,SA_DMT_ADMN_9,2,False,False,False,False,False,False
SMP494,SA_DMT_ADMN_9,3,False,False,False,False,False,False
SMP494,SA_DMT_ADMN_9,4,True,False,False,False,False,False
SMP494,SA_DMT_ADMN_9,5,True,True,False,False,False,False
SMP494,CB0324,2,False,False,False,False,False,False
SMP494,CB0324,3,True,False,False,False,False,False
SMP494,CB0324,4,True,True,False,False,False,False
SMP494,CB0324,5,True,True,False,False,False,False
SMP494,CL273,2,True,False,False,False,False,False
SMP494,CL273,3,True,True,False,False,False,False
SMP494,CL273,4,True,True,False,False,False,False
SMP494,CL273,5,True,True,False,False,False,False
SMP494,CB3564,2,True,True,False,False,False,False
SMP494,CB3564,3,True,True,False,False,False,False
SMP494,CB3564,4,True,True,False,False,False,False
SMP494,CB3564,5,True,True,True,False,False,False
SMP494,PS242,2,False,False,False,False,False,False
SMP494,PS242,3,True,False,False,False,False,False
SMP494,PS242,4,True,True,False,False,False,False
SMP494,PS242,5,True,True,False,False,False,False
SMP494,CB0391,2,True,False,False,False,False,False
SMP494,CB0391,3,True,True,False,False,False,False
SMP494,CB0391,4,True,True,False,False,False,False
SMP494,CB0391,5,True,True,False,False,False,False
SMP494,Pm07,2,False,False,False,False,False,False
SMP494,Pm07,3,True,False,False,False,False,False
SMP494,Pm07,4,True,True,False,False,False,False
SMP494,Pm07,5,True,True,False,False,False,False
SMP494,VP1d+VP4_l2PN1,2,True,False,False,False,False,False
SMP494,VP1d+VP4_l2PN1,3,True,True,False,False,False,False
SMP494,VP1d+VP4_l2PN1,4,True,True,False,False,False,False
SMP494,VP1d+VP4_l2PN1,5,True,True,False,False,False,False
SMP494,DNg12_e,2,False,False,False,False,False,False
SMP494,DNg12_e,3,True,True,False,False,False,False
SMP494,DNg12_e,4,True,True,False,False,False,False
SMP494,DNg12_e,5,True,True,False,False,False,False
SMP494,AVLP210,2,True,False,False,False,False,False
SMP494,AVLP210,3,True,True,False,False,False,False
SMP494,AVLP210,4,True,True,False,False,False,False
SMP494,AVLP210,5,True,True,False,False,False,False
SMP494,CB2416,2,True,True,False,False,False,False
SMP494,CB2416,3,True,True,False,False,False,False
SMP494,CB2416,4,True,True,False,False,False,False
SMP494,CB2416,5,True,True,False,False,False,False
SMP494,CB2013,2,True,True,False,False,False,False
SMP494,CB2013,3,True,True,False,False,False,False
SMP494,CB2013,4,True,True,False,False,False,False
SMP494,CB2013,5,True,True,False,False,False,False
SMP494,CB0196,2,True,False,False,False,False,False
SMP494,CB0196,3,True,False,False,False,False,False
SMP494,CB0196,4,True,True,False,False,False,False
SMP494,CB0196,5,True,True,False,False,False,False
SMP494,AVLP288,2,True,False,False,False,False,False
SMP494,AVLP288,3,True,True,False,False,False,False
SMP494,AVLP288,4,True,True,False,False,False,False
SMP494,AVLP288,5,True,True,False,False,False,False
SMP494,DNge010,2,True,False,False,False,False,False
SMP494,DNge010,3,True,True,False,False,False,False
SMP494,DNge010,4,True,True,False,False,False,False
SMP494,DNge010,5,True,True,False,False,False,False
SMP494,CB2320,2,False,False,False,False,False,False
SMP494,CB2320,3,True,True,False,False,False,False
SMP494,CB2320,4,True,True,False,False,False,False
SMP494,CB2320,5,True,True,False,False,False,False
